title,amazon_author,amazon_rating,amazon_num_reviews,amazon_price,amazon_year,amazon_genre,conlit_genre,conlit_pubdate,conlit_author_gender,conlit_author_nationality,conlit_total_ratings,goodreads_rating,goodreads_series,goodreads_genres,goodreads_edition,goodreads_publisher,goodreads_publish_date,goodreads_first_publish_date,goodreads_awards,goodreads_num_ratings,goodreads_likedPercent,goodreads_price,nyt_published_date,nyt_list_name_encoded,nyt_price,nyt_weeks_on_list
The Help,Kathryn Stockett,4.8,13871,6,2010-01-01,Fiction,BS,2009-01-01,F,US,2446358.0,4.47,,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",,Amy Einhorn Books/G.P. Putnam's Sons,2009-02-10,,"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)', 'Puddly Award for Fiction (2011)', 'Lincoln Award Nominee (2013)', 'Grand Prix des lectrices de Elle for roman (2011)', 'Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018)', 'Townsend Prize for Fiction (2010)']",2164011.0,98.0,,,,,
The Help,Kathryn Stockett,4.8,13871,8,2011-01-01,Fiction,BS,2009-01-01,F,US,2446358.0,4.47,,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",,Amy Einhorn Books/G.P. Putnam's Sons,2009-02-10,,"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)', 'Puddly Award for Fiction (2011)', 'Lincoln Award Nominee (2013)', 'Grand Prix des lectrices de Elle for roman (2011)', 'Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018)', 'Townsend Prize for Fiction (2010)']",2164011.0,98.0,,,,,
The Help,Kathryn Stockett,4.8,13871,7,2011-01-01,Fiction,BS,2009-01-01,F,US,2446358.0,4.47,,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",,Amy Einhorn Books/G.P. Putnam's Sons,2009-02-10,,"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)', 'Puddly Award for Fiction (2011)', 'Lincoln Award Nominee (2013)', 'Grand Prix des lectrices de Elle for roman (2011)', 'Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018)', 'Townsend Prize for Fiction (2010)']",2164011.0,98.0,,,,,
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,2013-01-01,Fiction,MID,2013-01-01,F,,333120.0,4.54,The Heroes of Olympus #4,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology', 'Urban Fantasy', 'Romance', 'Magic']",First Edition,Disney-Hyperion Books,2013-10-08,,"[""Goodreads Choice Award for Middle Grade & Children's (2013)""]",262082.0,98.0,8.0,2014-01-19,series-books,0.0,55.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,13,2010-01-01,Non Fiction,BIO,2010-01-01,F,,660724.0,4.07,,"['Nonfiction', 'Science', 'History', 'Biography', 'Medicine', 'Audiobook', 'Book Club', 'Medical', 'Biography Memoir', 'Historical']",,Crown Publishing Group,2010-02-02,,"['Ambassador Book Award for American Studies (2011)', 'Audie Award for Nonfiction (2011)', 'Chicago Tribune Heartland Prize for Nonfiction (2010)', 'Wellcome Book Prize (2010)', 'Puddly Award for Nonfiction (2011)', 'Goodreads Choice Award for  Nonfiction and Debut Author and Nominee for Favorite Book (2010)', 'AAAS/Subaru SB&F Prize for Excellence in Science Books for Young Adult Science Book (2011)']",587187.0,93.0,5.28,2010-09-12,hardcover-nonfiction,26.0,27.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2011-01-01,Non Fiction,BIO,2010-01-01,F,,660724.0,4.07,,"['Nonfiction', 'Science', 'History', 'Biography', 'Medicine', 'Audiobook', 'Book Club', 'Medical', 'Biography Memoir', 'Historical']",,Crown Publishing Group,2010-02-02,,"['Ambassador Book Award for American Studies (2011)', 'Audie Award for Nonfiction (2011)', 'Chicago Tribune Heartland Prize for Nonfiction (2010)', 'Wellcome Book Prize (2010)', 'Puddly Award for Nonfiction (2011)', 'Goodreads Choice Award for  Nonfiction and Debut Author and Nominee for Favorite Book (2010)', 'AAAS/Subaru SB&F Prize for Excellence in Science Books for Young Adult Science Book (2011)']",587187.0,93.0,5.28,2010-09-12,hardcover-nonfiction,26.0,27.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2012-01-01,Non Fiction,BIO,2010-01-01,F,,660724.0,4.07,,"['Nonfiction', 'Science', 'History', 'Biography', 'Medicine', 'Audiobook', 'Book Club', 'Medical', 'Biography Memoir', 'Historical']",,Crown Publishing Group,2010-02-02,,"['Ambassador Book Award for American Studies (2011)', 'Audie Award for Nonfiction (2011)', 'Chicago Tribune Heartland Prize for Nonfiction (2010)', 'Wellcome Book Prize (2010)', 'Puddly Award for Nonfiction (2011)', 'Goodreads Choice Award for  Nonfiction and Debut Author and Nominee for Favorite Book (2010)', 'AAAS/Subaru SB&F Prize for Excellence in Science Books for Young Adult Science Book (2011)']",587187.0,93.0,5.28,2010-09-12,hardcover-nonfiction,26.0,27.0
The Litigators,John Grisham,4.4,6222,18,2011-01-01,Fiction,BS,2011-01-01,M,US,69686.0,3.81,,"['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Crime', 'Audiobook', 'Suspense', 'Mystery Thriller', 'Law', 'Adult Fiction']",,Random House Audio,2011-10-25,,[],64275.0,94.0,,,,,
The Lost Symbol,Dan Brown,4.2,8747,19,2009-01-01,Fiction,BS,2009-01-01,M,US,568682.0,3.71,Robert Langdon #3,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Suspense', 'Adventure', 'Historical Fiction', 'Crime', 'Novels', 'Adult']",First Edition,Doubleday,2009-09-15,,"['Goodreads Choice Award Nominee for Favorite Book, Fiction & Mystery/Thriller (2009)', 'LovelyBooks Leserpreis Nominee for Krimi (2009)']",521050.0,88.0,0.85,2010-03-07,hardcover-fiction,29.95,23.0
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,2012-01-01,Fiction,MID,2012-01-01,M,,514102.0,4.45,The Heroes of Olympus #3,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology', 'Urban Fantasy', 'Romance', 'Childrens']",First Edition,Disney-Hyperion Books,2012-10-02,,"[""Goodreads Choice Award for Middle Grade & Children's (2012)""]",440607.0,97.0,5.11,2013-03-17,series-books,0.0,22.0
The Martian,Andy Weir,4.7,39459,9,2015-01-01,Fiction,SF,2011-01-01,M,US,959342.0,4.4,The Martian #1,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Adult', 'Science Fiction Fantasy', 'Thriller', 'Humor', 'Survival']",First Edition,Crown,2014-02-11,2012-09-27,"['Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2015)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015)', 'ITW Thriller Award Nominee for Best First Novel (2015)', 'Audie Award for Science Fiction (2015)', 'ALA Alex Award (2015)', 'Premio Ignotus for Mejor novela extranjera (Best Foreign Novel) (2015)', '本屋大賞 Nominee for Translated Fiction (2015)', 'Goodreads Choice Award for Science Fiction & Nominee for Debut Goodreads Author (2014) and Nominee for Best of the Best  (2018)', 'Green Mountain Book Award Nominee (2016)', 'Seiun Award 星雲賞 for Best Foreign Novel (2015)']",817411.0,97.0,2.63,,,,
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,2011-01-01,Fiction,BS,2012-01-01,M,US,284920.0,3.81,,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'France', 'Book Club', 'Adult Fiction', 'Audiobook', 'Adult', 'Novels']",,Ballantine Books,2011-02-27,,"['Ohioana Book Award for Fiction (2012)', 'Goodreads Choice Award for Historical Fiction and Nominee for Favorite Book and for Goodreads Author (2011)', 'Society of Midland Authors Award for Adult Fiction (2012)']",266641.0,92.0,2.37,,,,
The Racketeer,John Grisham,4.3,14493,18,2012-01-01,Fiction,BS,2012-01-01,M,US,96326.0,3.83,,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Novels', 'Drama']",,Doubleday,2012-10-23,,[],88545.0,93.0,4.13,2013-01-20,hardcover-fiction,28.95,11.0
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2009-01-01,Fiction,BS,2007-01-01,M,Canada,592793.0,3.78,,"['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Spirituality', 'Faith', 'Inspirational', 'Christianity', 'Adult Fiction', 'Adult']",,Windblown Media,2008-06-20,2007-05-01,['LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)'],538472.0,83.0,,,,,
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2017-01-01,Fiction,BS,2007-01-01,M,Canada,592793.0,3.78,,"['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Spirituality', 'Faith', 'Inspirational', 'Christianity', 'Adult Fiction', 'Adult']",,Windblown Media,2008-06-20,2007-05-01,['LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)'],538472.0,83.0,,,,,
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,2011-01-01,Fiction,MID,2011-01-01,M,,494163.0,4.43,The Heroes of Olympus #2,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology', 'Urban Fantasy', 'Childrens', 'Young Adult Fantasy']",First Edition,Disney ● Hyperion Books,2011-10-04,,"[""Buckeye Children's Book Award for 6-8 (2012)"", ""Goodreads Choice Award for Middle Grade & Children's and Nominee for Favorite Book (2011)""]",412823.0,98.0,6.42,2012-06-24,chapter-books,19.99,36.0
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7,2012-01-01,Fiction,MID,2012-01-01,M,,86125.0,4.22,Diary of a Wimpy Kid #7,"['Humor', 'Fiction', 'Middle Grade', 'Childrens', 'Realistic Fiction', 'Graphic Novels', 'Comedy', 'Young Adult', 'Diary', 'Comics']",,Amulet Books,2012-11-13,,"[""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)""]",73088.0,93.0,2.77,2013-10-27,series-books,0.0,247.0
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,2011-01-01,Fiction,MID,2011-01-01,M,,187723.0,4.2,The Kane Chronicles #2,"['Fantasy', 'Mythology', 'Young Adult', 'Fiction', 'Middle Grade', 'Adventure', 'Magic', 'Childrens', 'Urban Fantasy', 'Young Adult Fantasy']",,Hyperion Books for Children,2011-05-03,,"[""Goodreads Choice Award Nominee for Middle Grade & Children's (2011)""]",161734.0,96.0,4.93,2011-09-25,chapter-books,18.99,19.0
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,12,2010-01-01,Fiction,MID,2010-01-01,M,,118903.0,4.19,Diary of a Wimpy Kid #5,"['Humor', 'Fiction', 'Realistic Fiction', 'Childrens', 'Middle Grade', 'Graphic Novels', 'Young Adult', 'Comedy', 'Comics', 'Diary']",First Edition,Amulet books,2010-11-09,2010-10-28,"['Books I Loved Best Yearly (BILBY) Awards for Younger Readers (2011)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2011)"", ""Goodreads Choice Award for Middle Grade & Children's Books (2010)""]",102934.0,93.0,1.79,2011-11-27,series-books,0.0,148.0
The Wright Brothers,David McCullough,4.7,6169,16,2015-01-01,Non Fiction,HIST,2015-01-01,M,US,85498.0,4.14,,"['History', 'Biography', 'Nonfiction', 'American History', 'Aviation', 'Audiobook', 'Historical', 'Biography Memoir', 'Science', 'Technology']",,Simon & Schuster,2015-05-05,2015-03-20,"['Goodreads Choice Award Nominee for History & Biography (2015)', 'National Aviation Hall of Fame Combs Gates Award - (2016)']",74798.0,93.0,,,,,
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15,2013-01-01,Non Fiction,HIST,2013-01-01,M,US,39.0,3.97,,[],,,,,[],,,,,,,
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2011-01-01,Non Fiction,MIX,2011-01-01,M,,402881.0,4.16,,"['Nonfiction', 'Psychology', 'Science', 'Business', 'Economics', 'Self Help', 'Personal Development', 'Philosophy', 'Audiobook', 'Unfinished']",,"Farrar, Straus and Giroux",2011-10-25,,"['Los Angeles Times Book Prize for Current Interest (2011)', 'Best Book of Ideas Prize Nominee (2012)', 'Samuel Johnson Prize for Non-Fiction Nominee for Longlist (2012)', 'Andrew Carnegie Medal Nominee for Nonfiction (2012)']",309325.0,94.0,18.16,2013-01-27,hardcover-business-books,30.0,0.0
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2012-01-01,Non Fiction,MIX,2011-01-01,M,,402881.0,4.16,,"['Nonfiction', 'Psychology', 'Science', 'Business', 'Economics', 'Self Help', 'Personal Development', 'Philosophy', 'Audiobook', 'Unfinished']",,"Farrar, Straus and Giroux",2011-10-25,,"['Los Angeles Times Book Prize for Current Interest (2011)', 'Best Book of Ideas Prize Nominee (2012)', 'Samuel Johnson Prize for Non-Fiction Nominee for Longlist (2012)', 'Andrew Carnegie Medal Nominee for Nonfiction (2012)']",309325.0,94.0,18.16,2013-01-27,hardcover-business-books,30.0,0.0
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,2012-01-01,Non Fiction,BIO,2012-01-01,M,,37298.0,4.0,,[],,,,,[],,,,,,,
Under the Dome: A Novel,Stephen King,4.3,6740,20,2009-01-01,Fiction,BS,2009-01-01,M,US,278746.0,3.91,,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Mystery', 'Suspense', 'Audiobook', 'Adult', 'Drama']",First Scribner hardcover edition,Scribner,2009-11-10,,"['Locus Award Nominee for Best Science Fiction Novel (2010)', 'British Fantasy Award Nominee for Best Novel (2010)', 'Goodreads Choice Award Nominee for Mystery/Thriller (2009)']",257226.0,91.0,4.47,2010-01-10,hardcover-fiction,35.0,7.0
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011-01-01,Fiction,BS,2006-01-01,F,Canada/US,1499377.0,4.09,,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Animals']",,Algonquin Books,2007-05-01,2006-05-28,"['Book Sense Book of the Year Award for Adult Fiction (2007)', 'ALA Alex Award (2007)', 'The Quill Award Nominee for General Fiction (2006)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']",1379584.0,94.0,3.46,2011-08-21,trade-fiction-paperback,13.95,132.0
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,2016-01-01,Non Fiction,MEM,2016-01-01,M,,524301.0,4.36,,"['Nonfiction', 'Memoir', 'Biography', 'Medicine', 'Medical', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Philosophy', 'Science']",,Random House,2016-01-19,2016-01-12,"['Pulitzer Prize Nominee for Biography or Autobiography (2017)', 'Wellcome Book Prize Nominee (2017)', 'Goodreads Choice Award for Memoir & Autobiography (2016)', 'Waterstones Book of the Year Nominee (2016)', 'Book of the Month Book of the Year Award Nominee (2016)', 'Jan Michalski Prize Nominee for Longlist (2017)']",415362.0,96.0,,,,,
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,2012-01-01,Fiction,BS,2012-01-01,M,UK,144063.0,4.34,The Century Trilogy #2,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'War', 'World War II', 'Novels', 'Adult', 'British Literature', 'Russia']",,Berkley,2012-09-18,,['Goodreads Choice Award Nominee for Historical Fiction (2012)'],126607.0,98.0,5.8,2012-10-28,hardcover-fiction,36.0,4.0
Wonder,R. J. Palacio,4.8,21625,9,2013-01-01,Fiction,,,,,,4.44,Wonder #1,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",,Alfred A. Knopf,2012-02-14,,"['Josette Frank Award (2013)', 'Texas Bluebonnet Award Nominee (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013)"", ""South Carolina Book Award for Children's Book (2014)"", ""Dorothy Canfield Fisher Children's Book Award (2014)"", ""Charlie May Simon Children's Book Award (2015)"", 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2014)', 'New Mexico Land of Enchantment Award for Children (2014)', 'California Young Readers Medal for Intermediate (2015)', 'James Cook Book Award Nominee (2013)', ""Judy Lopez Memorial Award for Children's Literature (2013)"", ""Louisiana Young Readers' Choice for Grades 3-5 (2015)"", 'NAIBA Book of the Year for Middle Readers (2012)', ""Waterstones Children's Book Prize for 5-12 years (2013)"", 'Washington State Sasquatch Award Nominee (2015)', 'Bluestem Book Award (2014)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'Carnegie Medal Nominee (2013)', ""North Carolina Children's Book Award (2014)"", 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)', 'Rhode Island Children’s Book Award (2014)', 'FAB Award Nominee (2014)', ""Rebecca Caudill Young Readers' Book Award (2014)"", 'Hea Lasteraamat (2014)']",733486.0,97.0,,,,,
Wonder,R. J. Palacio,4.8,21625,9,2014-01-01,Fiction,,,,,,4.44,Wonder #1,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",,Alfred A. Knopf,2012-02-14,,"['Josette Frank Award (2013)', 'Texas Bluebonnet Award Nominee (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013)"", ""South Carolina Book Award for Children's Book (2014)"", ""Dorothy Canfield Fisher Children's Book Award (2014)"", ""Charlie May Simon Children's Book Award (2015)"", 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2014)', 'New Mexico Land of Enchantment Award for Children (2014)', 'California Young Readers Medal for Intermediate (2015)', 'James Cook Book Award Nominee (2013)', ""Judy Lopez Memorial Award for Children's Literature (2013)"", ""Louisiana Young Readers' Choice for Grades 3-5 (2015)"", 'NAIBA Book of the Year for Middle Readers (2012)', ""Waterstones Children's Book Prize for 5-12 years (2013)"", 'Washington State Sasquatch Award Nominee (2015)', 'Bluestem Book Award (2014)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'Carnegie Medal Nominee (2013)', ""North Carolina Children's Book Award (2014)"", 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)', 'Rhode Island Children’s Book Award (2014)', 'FAB Award Nominee (2014)', ""Rebecca Caudill Young Readers' Book Award (2014)"", 'Hea Lasteraamat (2014)']",733486.0,97.0,,,,,
Wonder,R. J. Palacio,4.8,21625,9,2015-01-01,Fiction,,,,,,4.44,Wonder #1,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",,Alfred A. Knopf,2012-02-14,,"['Josette Frank Award (2013)', 'Texas Bluebonnet Award Nominee (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013)"", ""South Carolina Book Award for Children's Book (2014)"", ""Dorothy Canfield Fisher Children's Book Award (2014)"", ""Charlie May Simon Children's Book Award (2015)"", 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2014)', 'New Mexico Land of Enchantment Award for Children (2014)', 'California Young Readers Medal for Intermediate (2015)', 'James Cook Book Award Nominee (2013)', ""Judy Lopez Memorial Award for Children's Literature (2013)"", ""Louisiana Young Readers' Choice for Grades 3-5 (2015)"", 'NAIBA Book of the Year for Middle Readers (2012)', ""Waterstones Children's Book Prize for 5-12 years (2013)"", 'Washington State Sasquatch Award Nominee (2015)', 'Bluestem Book Award (2014)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'Carnegie Medal Nominee (2013)', ""North Carolina Children's Book Award (2014)"", 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)', 'Rhode Island Children’s Book Award (2014)', 'FAB Award Nominee (2014)', ""Rebecca Caudill Young Readers' Book Award (2014)"", 'Hea Lasteraamat (2014)']",733486.0,97.0,,,,,
Wonder,R. J. Palacio,4.8,21625,9,2016-01-01,Fiction,,,,,,4.44,Wonder #1,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",,Alfred A. Knopf,2012-02-14,,"['Josette Frank Award (2013)', 'Texas Bluebonnet Award Nominee (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013)"", ""South Carolina Book Award for Children's Book (2014)"", ""Dorothy Canfield Fisher Children's Book Award (2014)"", ""Charlie May Simon Children's Book Award (2015)"", 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2014)', 'New Mexico Land of Enchantment Award for Children (2014)', 'California Young Readers Medal for Intermediate (2015)', 'James Cook Book Award Nominee (2013)', ""Judy Lopez Memorial Award for Children's Literature (2013)"", ""Louisiana Young Readers' Choice for Grades 3-5 (2015)"", 'NAIBA Book of the Year for Middle Readers (2012)', ""Waterstones Children's Book Prize for 5-12 years (2013)"", 'Washington State Sasquatch Award Nominee (2015)', 'Bluestem Book Award (2014)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'Carnegie Medal Nominee (2013)', ""North Carolina Children's Book Award (2014)"", 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)', 'Rhode Island Children’s Book Award (2014)', 'FAB Award Nominee (2014)', ""Rebecca Caudill Young Readers' Book Award (2014)"", 'Hea Lasteraamat (2014)']",733486.0,97.0,,,,,
Wonder,R. J. Palacio,4.8,21625,9,2017-01-01,Fiction,,,,,,4.44,Wonder #1,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",,Alfred A. Knopf,2012-02-14,,"['Josette Frank Award (2013)', 'Texas Bluebonnet Award Nominee (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013)"", ""South Carolina Book Award for Children's Book (2014)"", ""Dorothy Canfield Fisher Children's Book Award (2014)"", ""Charlie May Simon Children's Book Award (2015)"", 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2014)', 'New Mexico Land of Enchantment Award for Children (2014)', 'California Young Readers Medal for Intermediate (2015)', 'James Cook Book Award Nominee (2013)', ""Judy Lopez Memorial Award for Children's Literature (2013)"", ""Louisiana Young Readers' Choice for Grades 3-5 (2015)"", 'NAIBA Book of the Year for Middle Readers (2012)', ""Waterstones Children's Book Prize for 5-12 years (2013)"", 'Washington State Sasquatch Award Nominee (2015)', 'Bluestem Book Award (2014)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'Carnegie Medal Nominee (2013)', ""North Carolina Children's Book Award (2014)"", 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)', 'Rhode Island Children’s Book Award (2014)', 'FAB Award Nominee (2014)', ""Rebecca Caudill Young Readers' Book Award (2014)"", 'Hea Lasteraamat (2014)']",733486.0,97.0,,,,,
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2016-01-01,Non Fiction,MIX,2013-01-01,F,,192962.0,3.95,,"['Self Help', 'Nonfiction', 'Personal Development', 'Audiobook', 'Psychology', 'Business', 'Inspirational', 'Adult', 'Unfinished', 'Spirituality']",,Running Press Adult,2013-04-23,,['Audie Award for Personal Development (2014)'],142136.0,89.0,4.88,2019-10-20,advice-how-to-and-miscellaneous,0.0,192.0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2017-01-01,Non Fiction,MIX,2013-01-01,F,,192962.0,3.95,,"['Self Help', 'Nonfiction', 'Personal Development', 'Audiobook', 'Psychology', 'Business', 'Inspirational', 'Adult', 'Unfinished', 'Spirituality']",,Running Press Adult,2013-04-23,,['Audie Award for Personal Development (2014)'],142136.0,89.0,4.88,2019-10-20,advice-how-to-and-miscellaneous,0.0,192.0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2018-01-01,Non Fiction,MIX,2013-01-01,F,,192962.0,3.95,,"['Self Help', 'Nonfiction', 'Personal Development', 'Audiobook', 'Psychology', 'Business', 'Inspirational', 'Adult', 'Unfinished', 'Spirituality']",,Running Press Adult,2013-04-23,,['Audie Award for Personal Development (2014)'],142136.0,89.0,4.88,2019-10-20,advice-how-to-and-miscellaneous,0.0,192.0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2019-01-01,Non Fiction,MIX,2013-01-01,F,,192962.0,3.95,,"['Self Help', 'Nonfiction', 'Personal Development', 'Audiobook', 'Psychology', 'Business', 'Inspirational', 'Adult', 'Unfinished', 'Spirituality']",,Running Press Adult,2013-04-23,,['Audie Award for Personal Development (2014)'],142136.0,89.0,4.88,2019-10-20,advice-how-to-and-miscellaneous,0.0,192.0
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018-01-01,Non Fiction,,,,,,3.94,,"['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Religion', 'Unfinished', 'Science', 'Politics']",Canadian First Edition,Random House Canada,2018-01-23,2018-01-16,['Goodreads Choice Award Nominee for Nonfiction (2018)'],102470.0,87.0,12.47,,,,
1984 (Signet Classics),George Orwell,4.7,21424,6,2017-01-01,Fiction,,,,,,4.19,,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",,Houghton Mifflin Harcourt,2013-09-03,2049-06-08,"['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']",3140442.0,94.0,,,,,
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018-01-01,Non Fiction,,,,,,4.1,,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'History', 'Audiobook', 'Leadership', 'Autobiography', 'Biography Memoir', 'American History']",First Edition (U.S.),Flatiron Books,2018-04-17,,['Goodreads Choice Award Nominee for Memoir & Autobiography (2018)'],43575.0,94.0,3.3,2018-06-17,hardcover-nonfiction,0.0,7.0
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016-01-01,Fiction,,,,,,4.36,,"['Fiction', 'Contemporary', 'Audiobook', 'Humor', 'Book Club', 'Adult', 'Adult Fiction', 'Sweden', 'Novels', 'Realistic Fiction']",,Atria Books,2014-07-15,2012-08-27,[],568758.0,96.0,6.95,,,,
